,Company,TypeName,Inches,Screen Resolution,X_res,Y_res,Full HD,Quad HD+,4K Ultra HD,IPS,Touch Screen,CPU Name,CPU Freq (GHz),RAM (GB),HDD,SSD,Flash Storage,GPU,OS,Weight (kg),Price
170,HP,Notebook,17.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,2.5,6,2000,0,0,AMD Radeon,Windows 10,2.71,inf
171,Lenovo,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,AMD A-Series,2.9,4,500,0,0,AMD Radeon,No OS,2.2,inf
172,Toshiba,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.4,4,500,0,0,Intel HD Graphics,Windows 10,2.0,inf
173,HP,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Nvidia GeForce MX,Windows 10,2.5,inf
174,Dell,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.4,8,1000,0,0,Intel HD Graphics,Windows 10,2.3,inf
175,Acer,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.0,4,0,128,0,Intel HD Graphics,Windows 10,2.1,inf
176,MSI,Gaming,18.4,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.9,32,1000,512,0,Nvidia GeForce GTX,Windows 10,4.4,inf
177,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,1000,128,0,AMD Radeon,Windows 10,1.9,inf
178,HP,2 in 1 Convertible,13.3,3840x2160,3840,2160,0,0,1,1,1,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.29,inf
179,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,16,2000,256,0,AMD Radeon,Linux,2.02,inf
180,Dell,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.23,inf
181,Lenovo,2 in 1 Convertible,13.9,3840x2160,3840,2160,0,0,1,1,1,Intel Core i7,1.8,16,0,512,0,Intel UHD Graphics,Windows 10,1.4,inf
182,Toshiba,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.5,8,0,128,0,Intel HD Graphics,Windows 10,2.0,inf
183,Xiaomi,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,8,0,256,0,Nvidia GeForce MX,No OS,1.95,inf
184,Dell,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,1,Intel Core i7,1.8,16,0,512,0,Nvidia GeForce MX,Windows 10,2.77,inf
185,Dell,Notebook,15.6,3840x2160,3840,2160,0,0,1,0,1,Intel Core i7,2.8,16,0,512,0,Nvidia GeForce GTX,Windows 10,2.06,inf
186,Lenovo,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,2.5,8,0,256,0,Nvidia GeForce GTX,No OS,2.4,inf
187,Acer,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.2,8,0,256,0,Intel HD Graphics,Windows 10,1.12,inf
188,Dell,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,1000,128,0,AMD Radeon,Windows 10,2.8,inf
189,Lenovo,2 in 1 Convertible,14.0,2560x1440,2560,1440,0,1,0,0,1,Intel Core i7,2.7,16,0,1000,0,Intel HD Graphics,Windows 10,1.42,inf
190,Vero,Notebook,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Celeron Dual,1.1,4,0,0,32,Intel HD Graphics,Windows 10,1.3,inf
191,Xiaomi,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,2.5,8,0,256,0,Nvidia GeForce MX,No OS,1.3,inf
192,Lenovo,Notebook,17.3,1600x900,1600,900,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Nvidia GeForce MX,No OS,2.8,inf
193,Dell,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,1,1,Intel Core i7,1.8,8,1000,0,0,Intel UHD Graphics,Windows 10,1.62,inf
194,HP,Notebook,17.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,8,1000,0,0,Nvidia GeForce MX,Windows 10,2.5,inf
195,Razer,Gaming,17.3,3840x2160,3840,2160,0,0,1,0,1,Intel Core i7,2.9,32,0,1000,0,Nvidia GeForce GTX,Windows 10,3.49,inf
196,HP,Notebook,13.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,512,0,Intel UHD Graphics,Windows 10,1.49,inf
197,HP,Gaming,17.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,3.35,inf
198,HP,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,Nvidia GeForce MX,Windows 10,2.5,inf
199,Dell,Gaming,15.6,3840x2160,3840,2160,0,0,1,1,0,Intel Core i7,2.8,16,1000,512,0,Nvidia GeForce GTX,Windows 10,2.65,inf
200,Lenovo,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.3,4,0,128,0,Intel HD Graphics,Windows 10,2.1,inf
201,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,1000,0,0,Nvidia GeForce MX,Windows 10,2.23,inf
202,Lenovo,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,16,1000,512,0,Nvidia GeForce GTX,Windows 10,3.2,inf
203,Dell,Workstation,15.6,3840x2160,3840,2160,0,0,1,0,0,Intel Processor,3.0,16,1000,256,0,Nvidia Quadro,Windows 10,2.8,inf
204,Lenovo,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,0,512,0,Nvidia GeForce GTX,No OS,2.4,inf
205,Dell,Notebook,15.6,1366x768,1366,768,1,0,0,0,1,Intel Core i3,2.4,6,1000,0,0,Intel HD Graphics,Windows 10,2.3,inf
206,Dell,Ultrabook,13.3,3840x2160,3840,2160,0,0,1,1,1,Intel Core i7,1.8,8,0,256,0,Intel UHD Graphics,Windows 10,1.21,inf
207,Dell,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,Intel UHD Graphics,Windows 10,1.2,inf
208,Lenovo,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,2.2,inf
209,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,1000,0,0,Nvidia GeForce GTX,Linux,2.4,inf
210,Asus,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,2.9,inf
211,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,500,0,0,Intel HD Graphics,No OS,2.1,inf
212,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,No OS,2.2,inf
213,Huawei,Ultrabook,13.0,2160x1440,2160,1440,0,1,0,1,0,Intel Core i7,2.7,8,0,512,0,Intel HD Graphics,Windows 10,1.05,inf
214,Dell,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,8,0,256,0,AMD Radeon,Windows 10,1.4,inf
215,Lenovo,Notebook,17.3,1600x900,1600,900,1,0,0,0,0,Intel Core i5,2.5,8,1000,0,0,Nvidia GeForce GTX,No OS,2.8,inf
216,HP,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,Nvidia GeForce MX,Windows 10,1.63,inf
217,Dell,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.6,inf
218,Dell,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,0,1,Intel Core i7,1.8,16,0,512,0,Intel UHD Graphics,Windows 10,1.62,inf
219,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,AMD Radeon,Linux,2.2,inf
220,Lenovo,2 in 1 Convertible,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.74,inf
221,Toshiba,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.5,8,0,256,0,Intel HD Graphics,Windows 10,1.2,inf
222,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,1000,0,0,Intel UHD Graphics,Windows 10,2.1,inf
223,Dell,Gaming,17.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,4.42,inf
224,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,0,256,0,Nvidia GeForce MX,Windows 10,2.2,inf
225,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,1,Intel Core i7,2.7,16,1000,0,0,AMD Radeon,Windows 10,2.3,inf
226,Asus,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Nvidia GeForce MX,Windows 10,2.0,inf
227,Asus,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,500,256,0,Nvidia GeForce GTX,Windows 10,2.69,inf
228,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,1000,0,0,AMD FirePro,Windows 10,1.9,inf
229,Asus,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.4,4,1000,0,0,Intel HD Graphics,Windows 10,2.37,inf
230,HP,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,AMD E-Series,1.5,4,500,0,0,AMD Radeon,Windows 10,2.1,inf
231,Lenovo,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,3.2,inf
232,Dell,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,1.6,inf
233,Acer,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,1,1,Intel Core i5,2.3,8,0,256,0,Intel HD Graphics,Windows 10,1.6,inf
234,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,16,0,256,0,AMD Radeon,Linux,2.36,inf
235,Acer,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,Intel HD Graphics,Linux,2.1,inf
236,Asus,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,AMD A-Series,2.5,4,1000,128,0,AMD Radeon,Windows 10,2.2,inf
237,Asus,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.9,32,1000,512,0,Nvidia GeForce GTX,Windows 10,4.7,inf
238,Acer,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,2.5,8,0,256,0,Nvidia GeForce GTX,Windows 10,2.5,inf
239,Lenovo,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.0,8,0,128,0,Intel HD Graphics,Windows 10,2.2,inf
240,Asus,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,1000,128,0,Nvidia GeForce MX,Windows 10,2.1,inf
241,Asus,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,1000,128,0,Nvidia GeForce GTX,No OS,2.69,inf
242,Dell,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Nvidia GeForce GTX,Windows 10,2.56,inf
243,Lenovo,2 in 1 Convertible,13.9,1920x1080,1920,1080,1,0,0,1,1,Intel Core i7,2.7,8,0,256,0,Intel HD Graphics,Windows 10,1.38,inf
244,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,2000,128,0,AMD Radeon,Windows 10,2.2,inf
245,HP,Notebook,15.6,1366x768,1366,768,1,0,0,0,1,Intel Core i5,2.5,8,1000,0,0,Intel HD Graphics,Windows 10,2.04,inf
246,Asus,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.9,16,0,256,0,Nvidia GeForce GTX,Windows 10,3.6,inf
247,HP,Notebook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,4,500,0,0,Intel UHD Graphics,Windows 10,1.49,inf
248,Apple,Ultrabook,13.3,2560x1600,2560,1600,0,1,0,1,0,Intel Core i5,3.1,8,0,512,0,Intel Iris,Mac,1.37,inf
249,Dell,2 in 1 Convertible,15.6,1920x1080,1920,1080,1,0,0,1,1,Intel Core i7,1.8,8,1000,0,0,Intel UHD Graphics,Windows 10,2.08,inf
250,Asus,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,4.3,inf
251,Asus,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,AMD A-Series,3.0,4,1000,0,0,AMD Radeon,Windows 10,1.68,inf
252,Lenovo,2 in 1 Convertible,13.9,1920x1080,1920,1080,1,0,0,1,1,Intel Core i7,1.8,8,0,512,0,Intel UHD Graphics,Windows 10,1.37,inf
253,Acer,Notebook,17.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i3,2.7,4,0,256,0,Nvidia GeForce MX,Windows 10,3.0,inf
254,Dell,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.41,inf
255,HP,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,AMD A-Series,2.5,8,0,128,0,AMD Radeon,Windows 10,1.91,inf
256,HP,Notebook,17.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,16,1000,0,0,Nvidia GeForce MX,Windows 10,2.9,inf
257,MSI,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,1000,512,0,Nvidia GeForce GTX,Windows 10,4.14,inf
258,Lenovo,2 in 1 Convertible,15.6,1920x1080,1920,1080,1,0,0,1,1,Intel Core i7,2.8,8,0,512,0,Nvidia GeForce GTX,Windows 10,2.0,inf
259,Dell,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,1000,128,0,AMD Radeon,Windows 10,2.8,inf
260,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,0,256,0,Intel HD Graphics,No OS,2.2,inf
261,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,4,500,0,0,Intel HD Graphics,Windows 10,2.1,inf
262,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,4,1000,0,0,Intel HD Graphics,Windows 10,2.18,inf
263,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,1000,0,0,AMD Radeon,Windows 10,2.24,inf
264,Dell,2 in 1 Convertible,15.6,1920x1080,1920,1080,1,0,0,0,1,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,2.67,inf
265,Asus,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,0,1,Intel Core i7,1.8,8,0,1024,0,Intel UHD Graphics,Windows 10,1.1,inf
266,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,4,1000,0,0,Intel HD Graphics,No OS,2.2,inf
267,HP,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,1000,0,0,Nvidia GeForce MX,Windows 10,2.5,inf
268,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,Intel UHD Graphics,Windows 10,2.05,inf
269,Apple,Ultrabook,13.3,2560x1600,2560,1600,0,1,0,1,0,Intel Core i5,2.9,8,0,512,0,Intel Iris,Mac,1.37,inf
270,Asus,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,AMD Processor,3.0,16,1000,256,0,AMD Radeon,Windows 10,3.2,inf
271,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,AMD Radeon,Linux,2.14,inf
272,Lenovo,2 in 1 Convertible,14.0,2560x1440,2560,1440,0,1,0,0,1,Intel Core i7,2.6,16,0,512,0,Intel HD Graphics,Windows 10,1.36,inf
273,Toshiba,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i7,2.5,8,500,0,0,Nvidia GeForce M,Windows 10,2.2,inf
274,Dell,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i7,2.7,12,1000,0,0,Intel HD Graphics,Windows 10,2.3,inf
275,Dell,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,1000,128,0,AMD Radeon,Linux,2.8,inf
276,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,8,1000,0,0,Nvidia GeForce MX,Windows 10,2.2,inf
277,Lenovo,Notebook,17.3,1600x900,1600,900,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,Intel HD Graphics,Windows 10,2.8,inf
278,Lenovo,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,2000,0,0,Nvidia GeForce MX,No OS,2.8,inf
279,Lenovo,Notebook,17.3,1600x900,1600,900,1,0,0,0,0,Intel Core i7,2.7,6,1000,128,0,Nvidia GeForce MX,Windows 10,2.8,inf
280,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,AMD Radeon,Linux,2.25,inf
281,Lenovo,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,2.5,8,0,256,0,Nvidia GeForce GTX,Windows 10,2.5,inf
282,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,6,0,256,0,Intel HD Graphics,Windows 10,2.2,inf
283,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,8,0,256,0,Nvidia GeForce MX,Windows 10,3.0,inf
284,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,1,Intel Core i7,2.7,12,1000,0,0,Intel HD Graphics,Windows 10,2.15,inf
285,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.7,8,0,256,0,Intel HD Graphics,Windows 10,1.95,inf
286,Asus,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Nvidia GeForce MX,Windows 10,1.7,inf
287,Lenovo,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,2.5,inf
288,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,1000,0,0,Nvidia GeForce MX,No OS,2.2,inf
289,Acer,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.5,2,0,16,0,Intel HD Graphics,Chrome OS,2.19,inf
290,Asus,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,1000,0,0,Nvidia GeForce GTX,Windows 10,3.0,inf
291,HP,Notebook,17.3,1600x900,1600,900,1,0,0,0,0,Intel Core i3,2.0,8,1000,0,0,Intel HD Graphics,Windows 10,2.54,inf
292,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,0,256,0,Nvidia GeForce GTX,Windows 10,2.0,inf
293,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,2.05,inf
294,Lenovo,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,8,1000,0,0,Nvidia GeForce GTX,Windows 10,3.2,inf
295,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,0,256,0,Nvidia GeForce GTX,Linux,2.5,inf
296,Dell,Workstation,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.9,16,0,256,0,Nvidia Quadro,Windows 10,3.42,inf
297,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,AMD A-Series,2.4,6,1000,0,0,AMD Radeon,Windows 10,2.4,inf
298,Asus,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,16,0,512,0,Nvidia GeForce MX,Windows 10,1.63,inf
299,Asus,Notebook,14.0,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.4,4,0,128,0,Intel HD Graphics,Windows 10,1.3,inf
300,Asus,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,2.9,inf
301,Lenovo,Notebook,17.3,1600x900,1600,900,1,0,0,0,0,Intel Core i5,2.5,6,1000,0,0,Nvidia GeForce GTX,Windows 10,2.8,inf
302,Lenovo,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.5,8,2000,0,0,Nvidia GeForce MX,No OS,2.2,inf
303,Asus,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,1000,128,0,Nvidia GeForce GTX,Windows 10,2.5,inf
304,Lenovo,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Pentium Quad,1.1,4,1000,0,0,Intel HD Graphics,No OS,2.2,inf
305,HP,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,0,1,Intel Core i7,2.8,16,0,256,0,Intel HD Graphics,Windows 10,1.28,inf
306,Toshiba,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.5,8,0,256,0,Nvidia GeForce M,Windows 10,2.2,inf
307,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,1000,128,0,Nvidia GeForce MX,Windows 10,2.3,inf
308,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,Intel HD Graphics,Windows 10,1.86,inf
309,Lenovo,Notebook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,1.1,inf
310,Dell,Ultrabook,13.3,3840x2160,3840,2160,0,0,1,1,1,Intel Core i7,1.8,16,0,1000,0,Intel UHD Graphics,Windows 10,1.21,inf
311,MSI,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,2.8,inf
312,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,AMD A-Series,2.2,8,0,256,0,AMD Radeon,Windows 10,2.23,inf
313,Asus,2 in 1 Convertible,11.6,1366x768,1366,768,1,0,0,0,1,Intel Celeron Dual,1.1,2,0,0,32,Intel HD Graphics,Windows 10,1.1,inf
314,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,1000,128,0,AMD Radeon,Windows 10,2.33,inf
315,HP,2 in 1 Convertible,13.3,3840x2160,3840,2160,0,0,1,1,1,Intel Core i7,1.8,16,0,1000,0,Intel UHD Graphics,Windows 10,1.29,inf
316,Lenovo,Notebook,13.3,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.6,4,0,0,16,Intel HD Graphics,Chrome OS,1.45,inf
317,HP,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,1.95,inf
318,Acer,Notebook,11.6,1366x768,1366,768,1,0,0,0,0,Intel Pentium Quad,1.6,4,0,0,128,Intel HD Graphics,Windows 10,1.4,inf
319,HP,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,0,256,0,Intel HD Graphics,Windows 10,1.48,inf
320,Lenovo,Notebook,17.3,1600x900,1600,900,1,0,0,0,0,Intel Core i5,2.5,4,1000,0,0,Nvidia GeForce MX,Windows 10,2.79,inf
321,Asus,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,0,256,0,Intel HD Graphics,Windows 10,2.0,inf
322,HP,Notebook,15.6,1366x768,1366,768,1,0,0,1,0,Intel Core i7,1.8,8,1000,0,0,Intel UHD Graphics,Windows 10,2.1,inf
323,Acer,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,AMD A-Series,2.7,8,0,256,0,AMD Radeon,Windows 10,2.2,inf
324,Lenovo,Notebook,14.0,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.1,4,0,0,32,Intel HD Graphics,Windows 10,1.44,inf
325,Acer,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.5,6,1000,0,0,Intel HD Graphics,Windows 10,2.23,inf
326,Asus,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,0,256,0,Nvidia GeForce MX,Windows 10,1.7,inf
327,HP,Ultrabook,12.5,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,0,256,0,Intel HD Graphics,Windows 10,1.26,inf
328,Dell,Notebook,15.6,3840x2160,3840,2160,0,0,1,0,1,Intel Core i7,2.8,32,0,1000,0,Nvidia GeForce GTX,Windows 10,2.06,inf
329,MSI,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,1000,256,0,Nvidia GeForce GTX,Windows 10,2.7,inf
330,Toshiba,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,2.0,inf
331,Asus,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,1000,256,0,Intel HD Graphics,Windows 10,2.0,inf
332,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,Intel HD Graphics,Windows 10,1.85,inf
333,Asus,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,0,256,0,Nvidia GeForce GTX,Windows 10,2.5,inf
334,HP,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.6,8,0,256,0,Intel HD Graphics,Windows 10,1.48,inf
335,Dell,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,8,1000,128,0,Nvidia GeForce MX,Windows 10,1.9,inf
336,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,1.84,inf
337,Asus,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.1,4,1000,0,0,Intel HD Graphics,Linux,2.0,inf
338,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Nvidia GeForce MX,Windows 10,2.0,inf
